Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/abdullatif-al-shelash,Abdullatif Al Shelash,�,Riyadh,Saudi Arabia,"7,879",Abdullatif,Al Shelash,Male,Abdullatif Al Shelash has over 18 years experience in financial management systems and currently serves on the board of Saudi Home Loans Co. Al Shelash graduated from Purdue with a bachelor�s degree in organization leadership and supervision from Purdue University.,,https://sa.linkedin.com/in/abdullatif-alshalash-25192055
https://www.crunchbase.com/person/mohammad-bin-salman-al-saud,Mohammad Bin Salman Al Saud,Chairman,Saudi Arabia,,"8,130",Mohammad Bin,Salman Al Saud,Male,"Mohammed bin Salman bin Abdulaziz Al Saud is Chairman at Saudi Arabia�s Public Investment Fund, also called PIF.

Mohammed bin Salman bin Abdulaziz Al Saud, known colloquially as MbS, is the Crown Prince of Saudi Arabia, also serving as First Deputy Prime Minister, President of the Council for Economic and Development Affairs and Minister of Defense�the world's youngest office holder at the time.

He is also Chairman at Saudi Arabia�s Public Investment Fund, also called PIF.",Saudi Arabia's Public Investment Fund,https://www.linkedin.com/in/mohammad-bin-salman-bin-abdulaziz-al-saud-b3993019a
https://www.crunchbase.com/person/ahmed-alenazi,Ahmed Alenazi,Co-Founder & Chief Executive Officer,Saudi Arabia,,"8,727",Ahmed,Alenazi,Male,"Ahmed Alenazi is  Chief Executive Officer at STC Pay. Attended at University of Delaware.




The appointment of Ahmed bin Muhammad Al-Enezi as CEO of ""stc pay""
Riyadh, October 31, 2019: The Saudi Digital Payments Company, stc pay, announced that its Board of Directors has appointed Ahmed Al-Anzi as its new CEO. Al-Enezi has more than 14 years of experience in the banking sector, with emphasis On the quality and development of business and products, in addition to his experience in the field of financial technology as one of the founders of stc pay, and the development of growth opportunities for retail and business.
Al-Enezi held the position of General Manager for Enjaz Sector at Bank Albilad before he held his previous position as Vice President of Business at stc pay.
Khaled bin Sulaiman Al-Jasser, Chairman of the Board of Directors, confirmed that this appointment comes within the company's strategy aimed at providing an opportunity for qualified competencies to lead the company, as it is making great strides in the field of digital payments and financial technology services for individuals and companies. He wished success to Al-Enezi and his stc pay team in their tasks.",stc pay,https://www.linkedin.com/in/ahmed-alenazi-97772647/?originalSubdomain=sa
https://www.crunchbase.com/person/adwa-aldakheel,Adwa Aldakheel,Founder & CEO,Riyad,Saudi Arabia,"8,920",Adwa,Aldakheel,Female,"Adwa Al-Dakheel (Arabic: ???? ???????) ; born 27 January 1992) is a Saudi Arabian author, poet, pilot, musician and entrepreneur.[1] She is the founder and CEO of Falak, Ns3a and Dar Technology and co-founder of the Social Advisors. She also is the founder of the multiple exciting startups currently operating in the jewelry industry, the media industry and the financial technology industry.
Al-Dakheel won first prize in the poetry competition at the World Poetry Forum in Washington.[5][6][7] Adwa wrote her debut book at the age of 16. She is also the author of the book �Proven Billionaire Formula�. Al-Dakheel won an honorary grade at Suffolk University in Boston for three consecutive years. [8][9]",Falak Business Hub,https://www.linkedin.com/in/adwa-aldakheel-ababb23a/
https://www.crunchbase.com/person/nawaf-hariri,Nawaf Hariri,Co-Founder & CEO,Jeddah,Saudi Arabia,"8,987",Nawaf,Hariri,Male,�,Salla,https://www.linkedin.com/in/nawaf-al-hariri-05857565
https://www.crunchbase.com/person/jeremy-lester-540d,Jeremy Lester,CEO Gulf of Aqaba / NEOM Bay,Saudi Arabia,,"9,521",Jeremy,Lester,Male,Jeremy Lester is the CEO Gulf of Aqaba and NEOM Bay and a CEO at Emaar. He was a Chairman Middle East and North Africa at Jones Lang LaSalle.,NeoMedia Technologies,https://www.linkedin.com/in/jeremy-lester-62953411
https://www.crunchbase.com/person/yasir-al-rumayyan,Yasir Al Rumayyan,Governor and Board member,Riyadh,Saudi Arabia,"9,936",Yasir,Al Rumayyan,Male,Yasir Al Rumayyan is the Governor of the Public Investment Fund (PIF) and Chairman of Saudi Aramco.,Saudi Arabia's Public Investment Fund,https://www.linkedin.com/in/yasir-al-rumayyan-a23b823
https://www.crunchbase.com/person/lulwa-al-saud,Loulwa Bint Yazeed Al-Saud,�,Riyadh,Saudi Arabia,"11,222",Loulwa Bint Yazeed,Al-Saud,Female,"Lulwa established Gotrend in Cairo in 2020. As a Chief Business Development Officer, She is responsible for the Company�s strategy as well as developing the group business and builds best-in-class capabilities to support Gotrend�s Growth ambitions.",,https://www.linkedin.com/in/loulwa-al-saud-645645204/
https://www.crunchbase.com/person/yannick-theler,Yannick Theler,CEO Savvy Games Studios,Riyadh,Saudi Arabia,"11,260",Yannick,Theler,Male,Yannick Theler is the current CEO Savvy Games Studios of Savvy Gaming Group. He previously worked at Ubisoft Abu Dhabi as a Founder and Managing Director. Yannick Theler attended the University IFM.,Savvy Gaming Group,https://www.linkedin.com/in/yannicktheler
https://www.crunchbase.com/person/ebrahim-al-jassim,Ebrahim Al-Jassim,Founder/CEO,Ad Dammam,Saudi Arabia,"11,293",Ebrahim,Al-Jassim,Male,�,Hungerstation.com,https://www.linkedin.com/in/ebrahim-al-jassim-74390b28
