Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/alexander-cheek,Alexander Cheek,Founder and CDO (Chief Design Officer),Doha,Qatar,"1,202,945",Alexander,Cheek,Male,�,Macromicro,
https://www.crunchbase.com/person/mohammed-kareeb-8d99,Mohammed Kareeb,Chief Human Capital Officer,Doha,Qatar,"1,204,848",Mohammed,Kareeb,Male,Mohammed Kareeb is the Chief Human Capital Officer at Qatar Foundation.,Qatar Foundation,https://www.linkedin.com/in/mohammed-kareeb-60a44ba6
https://www.crunchbase.com/person/yunus-saiyed-2883,Yunus Saiyed,�,Qatar,,"1,207,604",Yunus,Saiyed,Male,�,,
https://www.crunchbase.com/person/wadah-osman-ahmed,Wadah Osman Ahmed,�,Doha,Qatar,"1,210,887",Wadah,Osman Ahmed,Male,"I am a member of the Association of Chartered Certified Accountants (ACCA), with extensive exposure in complex financial statements preparation and the interpretation of International financial reporting standards.",,https://www.linkedin.com/in/waddah-ahmed-acca-5b172996/
https://www.crunchbase.com/person/ahmed-ali-3,Ahmed Ali,Co-founder,Doha,Qatar,"1,212,702",Ahmed,Ali,Male,�,Subol,
https://www.crunchbase.com/person/talal-samhouri,Talal Samhouri,�,Qatar,,"1,213,954",Talal,Samhouri,Male,"Talal Samhouri has over 22 years of asset management and investment banking experience in the MENA region and the USA. Prior to his current position at Amwal, Talal was the head of Private Equity and Corporate Finance at Dar Al Mal Ltd. in DIFC, where he was responsible for launching a UK Real Estate Fund, in addition to M&A and capital structure advisory services for GCC institutions and family groups. Previously, Talal headed the MENA Asset Management Division of Global Investment House in Kuwait, with AuM of over $ 3.5 billion, he was responsible for establishing and running the asset management team of over 23 professionals across 4 regional offices in the MENA region. Formerly, Talal was a fund manager and then head of the asset management department at AB Invest (previously Atlas Investment Group), subsidiary of Arab Bank group. Before moving back to the MENA region, Talal started his career in auditing and financial advisory in the U.S. with American Express Financial Corp. During his tenure, Talal has built comprehensive experience in sourcing, structuring and managing various investment opportunities in the MENA region.

Talal earned his B.Sc. In Accounting and MBA in Finance, Real Estate and Insurance. In addition, he is a CFA Charterholder since 2003.",,https://www.linkedin.com/in/talal-samhouri-cfa-b294114/?ppe=1
https://www.crunchbase.com/person/brian-roche-2,Brian Roche,Head of IT Infrastructure,Qatar,,"1,216,620",Brian,Roche,Male,"Brian has over 20 years IT Infrastructure experience particularly in the area of Enterprise and Global Data Centres.

He has held CTO/CIO advisory positions as well as Head of Infrastructure for some of the world's leading companies and organisations.

Brian has recently completed his role of Head of IT Infrastructure for Hamad International Airport having successfully migrated the IT Infrastructure services from the old airport to the new one. Hamad is now rated the 6th best Airport in the world, managing over 25 million passengers, which in its first year, is no mean feat. This is testimony to the incredible journey and technology investment the State of Qatar is making, to elevate Doha to one of the best cities and paces to live in the world.

Brian also has a 30 year Operations background, which is essential to the H24 running of Enterprise Data Centres, with a focus on new solutions and future technology strategy of Government, Oil & Gas, Utilities, Financial, FMCG & Aviation service sectors across the globe.",Hamad International Airport,https://qa.linkedin.com/pub/brian-roche/3/7b2/775
https://www.crunchbase.com/person/rami-al-rihawi,Rami Al-Rihawi,�,Doha,Qatar,"1,224,721",Rami,Al-Rihawi,Male,�,,
https://www.crunchbase.com/person/ahmed-mohamed-nour,Ahmed Mohamed Nour,�,Doha,Qatar,"1,227,493",Ahmed Mohamed,Nour,Male,Ahmed is the Lead Scout at Qatar Sportstech.,,https://www.linkedin.com/in/anour/
https://www.crunchbase.com/person/jithin-j-naduvath,Jithin J Naduvath,�,Qatar,,"1,256,291",Jithin,J Naduvath,Male,�,,https://www.linkedin.com/in/jithin-j-naduvath-78314979/
https://www.crunchbase.com/person/tedj-meabiou,Tedj Meabiou,Program Manager,Doha,Qatar,"1,261,053",Tedj,Meabiou,Male,�,Sylabs,https://www.linkedin.com/in/tedj-meabiou-a6309548
https://www.crunchbase.com/person/faiyaz-khan-fb6d,Faiyaz Khan,�,Qatar,,"1,263,202",Faiyaz,Khan,Male,�,,https://qa.linkedin.com/in/beingfaiyazkhan
