Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Non Equity Assistance - Alrawi Media,https://www.crunchbase.com/funding_round/alrawi-media-non-equity-assistance--fea2c25c,Alrawi Media,https://www.crunchbase.com/organization/alrawi-media,Non-equity Assistance,,,,2018-12-12
Pre Seed Round - Expocar,https://www.crunchbase.com/funding_round/expocar-pre-seed--e5edc526,Expocar,https://www.crunchbase.com/organization/expocar,Pre-Seed,32000,USD,32000,2020-06-09
Seed Round - Calo,https://www.crunchbase.com/funding_round/calo-seed--003b50b6,Calo,https://www.crunchbase.com/organization/calo,Seed,,,,2019-11-20
Pre Seed Round - GetBaqala Inc.,https://www.crunchbase.com/funding_round/getbaqala-pre-seed--0b082d11,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,Pre-Seed,75000,USD,75000,2016-09-01
Seed Round - Optica,https://www.crunchbase.com/funding_round/optica-seed--1f01ba20,Optica,https://www.crunchbase.com/organization/optica,Seed,12500,USD,12500,2014-12-01
Seed Round - Evergo,https://www.crunchbase.com/funding_round/evergo-seed--cf7df79f,Evergo,https://www.crunchbase.com/organization/evergo,Seed,,,,2020-05-19
Pre Seed Round - inagrab,https://www.crunchbase.com/funding_round/inagrab-pre-seed--506f8538,inagrab,https://www.crunchbase.com/organization/inagrab,Pre-Seed,75000,USD,75000,2017-02-01
Non Equity Assistance - The Stories Studio,https://www.crunchbase.com/funding_round/the-stories-studio-non-equity-assistance--2019fb37,The Stories Studio,https://www.crunchbase.com/organization/the-stories-studio,Non-equity Assistance,,,,2018-04-05
Seed Round - GetBaqala Inc.,https://www.crunchbase.com/funding_round/getbaqala-seed--4239a6da,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,Seed,,,,2019-04-16
Seed Round - Telp,https://www.crunchbase.com/funding_round/telp-seed--b703caf1,Telp,https://www.crunchbase.com/organization/telp,Seed,,,,2020-06-03
Post-IPO Debt - GFH Financial Group,https://www.crunchbase.com/funding_round/gulf-finance-house-post-ipo-debt--b7080d03,GFH Financial Group,https://www.crunchbase.com/organization/gulf-finance-house,Post-IPO Debt,300000000,USD,300000000,2020-01-20
Venture Round - uTrack TV,https://www.crunchbase.com/funding_round/utrack-tv-series-unknown--3d612527,uTrack TV,https://www.crunchbase.com/organization/utrack-tv,Venture - Series Unknown,,,,2015-04-17
Grant - Fish.Me,https://www.crunchbase.com/funding_round/fish-me-grant--9c2ad1b2,Fish.Me,https://www.crunchbase.com/organization/fish-me,Grant,,,,2018-05-16
Seed Round - Nural,https://www.crunchbase.com/funding_round/nural-seed--704323f8,Nural,https://www.crunchbase.com/organization/nural,Seed,30000,USD,30000,2018-04-10
Seed Round - Sprouting Journey,https://www.crunchbase.com/funding_round/sprouting-journey-seed--f5489c24,Sprouting Journey,https://www.crunchbase.com/organization/sprouting-journey,Seed,,,,2019-10-01
Venture Round - GetBaqala Inc.,https://www.crunchbase.com/funding_round/getbaqala-series-unknown--efa05f2a,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,Venture - Series Unknown,900000,USD,900000,2019-12-29
Seed Round - inagrab,https://www.crunchbase.com/funding_round/inagrab-seed--fa47ab3a,inagrab,https://www.crunchbase.com/organization/inagrab,Seed,100000,USD,100000,2019-04-16
Funding Round - Khaleeji Commercial Bank,https://www.crunchbase.com/funding_round/khaleeji-commercial-bank-undisclosed--9e568d4e,Khaleeji Commercial Bank,https://www.crunchbase.com/organization/khaleeji-commercial-bank,Funding Round,25000000,USD,25000000,2016-12-25
Pre Seed Round - Kumlaudi,https://www.crunchbase.com/funding_round/kumlaudi-pre-seed--90f1b0d1,Kumlaudi,https://www.crunchbase.com/organization/kumlaudi,Pre-Seed,20000,USD,20000,2019-06-01
Angel Round - GetBaqala Inc.,https://www.crunchbase.com/funding_round/getbaqala-angel--8c8a99aa,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,Angel,1400000,USD,1400000,2018-10-01
Seed Round - uTrack TV,https://www.crunchbase.com/funding_round/utrack-tv-seed--d876ba09,uTrack TV,https://www.crunchbase.com/organization/utrack-tv,Seed,60000,EUR,76283,2012-11-11
Seed Round - Akalati,https://www.crunchbase.com/funding_round/akalati-seed--3d6f61ed,Akalati,https://www.crunchbase.com/organization/akalati,Seed,,,,2019-11-20
Pre Seed Round - WASCO|LAB,https://www.crunchbase.com/funding_round/wasco-lab-pre-seed--b3e334a4,WASCO|LAB,https://www.crunchbase.com/organization/wasco-lab,Pre-Seed,53000,USD,53000,2019-11-21
Seed Round - Majra,https://www.crunchbase.com/funding_round/majra-seed--f9202c67,Majra,https://www.crunchbase.com/organization/majra,Seed,,,,2019-05-23
Seed Round - GetBaqala Inc.,https://www.crunchbase.com/funding_round/getbaqala-seed--8b915ce5,GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,Seed,150000,USD,150000,2017-10-20
Seed Round - Rain,https://www.crunchbase.com/funding_round/rain-bh-seed--e6e45090,Rain,https://www.crunchbase.com/organization/rain-bh,Seed,2500000,USD,2500000,2019-07-31
Seed Round - Tamarran,https://www.crunchbase.com/funding_round/tamarran-seed--ba7aaa7e,Tamarran,https://www.crunchbase.com/organization/tamarran,Seed,31747,USD,31747,2019-04-15
Seed Round - Investcorp,https://www.crunchbase.com/funding_round/investcorp-2-seed--900dc572,Investcorp,https://www.crunchbase.com/organization/investcorp-2,Seed,200000,USD,200000,2017-08-18
Pre Seed Round - Kumlaudi,https://www.crunchbase.com/funding_round/kumlaudi-pre-seed--3cef11b1,Kumlaudi,https://www.crunchbase.com/organization/kumlaudi,Pre-Seed,50000,USD,50000,2018-12-10
Venture Round - Investcorp,https://www.crunchbase.com/funding_round/investcorp-2-series-unknown--8d087276,Investcorp,https://www.crunchbase.com/organization/investcorp-2,Venture - Series Unknown,,,,2017-03-12
Grant - inagrab,https://www.crunchbase.com/funding_round/inagrab-grant--93b5b4ba,inagrab,https://www.crunchbase.com/organization/inagrab,Grant,25000,USD,25000,2018-03-08
Seed Round - inagrab,https://www.crunchbase.com/funding_round/inagrab-seed--e9075fff,inagrab,https://www.crunchbase.com/organization/inagrab,Seed,100000,USD,100000,2019-01-03
Equity Crowdfunding - Global iTS,https://www.crunchbase.com/funding_round/global-its-equity-crowdfunding--0dc10d00,Global iTS,https://www.crunchbase.com/organization/global-its,Equity Crowdfunding,,,,2014-11-08
Seed Round - Rain,https://www.crunchbase.com/funding_round/rain-bh-seed--56978b79,Rain,https://www.crunchbase.com/organization/rain-bh,Seed,,,,2017-09-01
