Full Name,Full Name URL,Primary Job Title,Primary Organization,Primary Organization URL,Location,CB Rank (Person),LinkedIn,First Name,Last Name,Gender,Current Organizations,Twitter,Biography,Regions,Facebook,Schools Attended,Number of Founded Organizations,Number of News Articles
Ali Almajthoob,https://www.crunchbase.com/person/ali-almajthoob,,,,"Bu Quwah, Jidd Hafs, Bahrain","256,172",https://www.linkedin.com/in/alialmajthoob/,Ali,Almajthoob,Male,"Bahrain Development Bank, Middle East Venture Partners (MEVP)",https://twitter.com/AliAlmajthoob,,Gulf Cooperation Council (GCC),https://www.facebook.com/ali.almajdoub,,,
Rose Murad,https://www.crunchbase.com/person/rose-murad,,,,"Manama, Al Manamah, Bahrain","259,730",https://www.linkedin.com/in/rose-murad-00881ba0/,Rose,Murad,Female,Bahrain FinTech Bay,,"Rose is a Research Analyst of Bahrain FinTech Bay.   Prior to joining, Rose worked as a Middle East Analyst for the global strategy consultancy firm Kaiser Associates and the Abu Dhabi-based political risk advisory firm The Delma Institute. Rose was also chosen by the University of Kent to partake in an internship at the European Commission Representation in the United Kingdom.",Gulf Cooperation Council (GCC),,"London School of Economics and Political Science (LSE), University of Kent",,
Kamal Tabaja,https://www.crunchbase.com/person/kamal-tabaja,Chief Operating Officer,Trust Re,https://www.crunchbase.com/organization/trust-re,"Bahrain, Asia","265,212",https://www.linkedin.com/in/ktabaja/,Kamal,Tabaja,Male,Trust Re,,"Kamal Tabaja has been Group Chief Underwriting Officer at Trust International Insurance & Reinsurance Company B.S.C. (c) Trust Re. Kamal Tabaja is responsible for all Underwriting activities (both Facultative and Treaty) of Trust Re, its branches and subsidiaries. He oversees and has responsibility for the contribution of the Claims and Retrocession functions. He began his tenure with Trust Re in 2002 as an Assistant Underwriter in the Treaty Department and served as Deputy Underwriter of Property & Engineering and Underwriter of Energy; Senior Underwriter of Energy; and Senior Underwriter of Energy & Marine. Kamal Tabaja is a Fellow of the Chartered Insurance Institute (FCII) UK.",Gulf Cooperation Council (GCC),,,,
Hamza Al Ghatam,https://www.crunchbase.com/person/hamza-al-ghatam,,,,"Bahrain, Asia","266,863",https://www.linkedin.com/in/halghatam/,Hamza,Al Ghatam,Male,Faceki,,Founder | Consultant | Speaker,Gulf Cooperation Council (GCC),,,1,
Adnan Mahmood Al Balooshi,https://www.crunchbase.com/person/adnan-mahmood-al-balooshi,"Deputy General Manager, Banking Services Division",Bahrain Development Bank,https://www.crunchbase.com/organization/bahrain-development-bank,"Bahrain, Asia","267,441",,Adnan,Mahmood Al Balooshi,Male,Bahrain Development Bank,,,Gulf Cooperation Council (GCC),,,,
Harsh Shethia,https://www.crunchbase.com/person/harsh-shethia,Partner,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","271,589",http://www.linkedin.com/pub/harsh-shethia/3/907/929,Harsh,Shethia,Male,Investcorp,,,Gulf Cooperation Council (GCC),,"Carnegie Mellon University, Ramapo College of New Jersey",,
Ali Dhaif,https://www.crunchbase.com/person/ali-dhaif,Co-Founder & CEO,Parcel,https://www.crunchbase.com/organization/parcel-862f,"Bahrain, Asia","273,458",,Ali,Dhaif,Male,Parcel,,,Gulf Cooperation Council (GCC),,,1,
Babak Sultani,https://www.crunchbase.com/person/babak-sultani,Managing Director - Global Real Estate Specialist,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","279,121",https://www.linkedin.com/in/babaksoltani/,Babak,Sultani,Male,Investcorp,,,Gulf Cooperation Council (GCC),,"The University of Texas at Arlington, University of Bahrain",,
Alharith Alatawi,https://www.crunchbase.com/person/alharith-alatawi,Founder and COO,Skiplino,https://www.crunchbase.com/organization/skiplino,"Bahrain, Asia","279,199",https://www.linkedin.com/in/alharithalatawi/,Alharith,Alatawi,Male,Skiplino,https://twitter.com/alharithalatawi,,Gulf Cooperation Council (GCC),https://www.facebook.com/aaalatawi,Concordia University,2,
Maha Mofeez,https://www.crunchbase.com/person/maha-mofeez,Executive Director – Corporate Services,Bahrain Economic Development Board,https://www.crunchbase.com/organization/bahrain-economic-development-board,"Bahrain, Asia","281,298",https://www.linkedin.com/in/maha-mofeez-40291525/,Maha,Mofeez,Female,Bahrain Economic Development Board,,,Gulf Cooperation Council (GCC),https://www.facebook.com/maha.a.hameed.5,University of Bahrain,,
