Event Name,Event Name URL,Start Date,End Date,Location
YPO - MENA region Summit 2019,https://www.crunchbase.com/event/ypo-mena-region-summit-2019,2019-03-26,2019-03-27,"Manama, Al Manamah, Bahrain"
unbound Bahrain: Tech Innovation Conference on March 7 and 8 2018,https://www.crunchbase.com/event/unbound-bahrain-tech-innovation-conference-on-march-7-and-8-2018,2018-03-07,2018-03-08,"Manama, Al Manamah, Bahrain"
BlockOn,https://www.crunchbase.com/event/blockon,2018-07-29,2018-07-29,"Manama, Al Manamah, Bahrain"
BITEX-MEETICT,https://www.crunchbase.com/event/bitex-meetict,2018-02-13,2018-02-15,"Manama, Al Manamah, Bahrain"
InsurByte,https://www.crunchbase.com/event/insurbyte,2018-09-27,2018-09-27,"Manama, Al Manamah, Bahrain"
SPE Workshop: Unconventionals in the Middle East,https://www.crunchbase.com/event/spe-workshop-unconventionals-in-the-middle-east,2018-05-09,2018-05-10,"Manama, Al Manamah, Bahrain"
MENA Angel Investor Summit,https://www.crunchbase.com/event/mena-angel-investor-summit-201556,2015-05-06,2015-09-08,"Manama, Al Manamah, Bahrain"
