Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/shankar-sharma,Shankar Sharma,�,Ruwi,Masqat,"603,516",Shankar,Sharma,Male,�,,https://www.linkedin.com/in/shankarsharma1/
https://www.crunchbase.com/person/aidin-ansari,Aidin Ansari,�,Oman,Asia,"604,042",Aidin,Ansari,Male,�,,
https://www.crunchbase.com/person/ali-abdulhussain,Ali Abdulhussain,�,Muscat,Masqat,"610,349",Ali,Abdulhussain,�,�,,https://www.linkedin.com/in/aliabdulhussain/
https://www.crunchbase.com/person/waleed-al-maawali,Waleed Al Maawali,Co-Founder & CEO,Muscat,Masqat,"622,293",Waleed,Al Maawali,Male,Waleed Al Maawali is the Co-Founder and CEO at iLab Marine. He attended Sultan Qaboos University.,iLab Marine,https://www.linkedin.com/in/waleed-al-maawali
https://www.crunchbase.com/person/hossein-nazarboland-0d98,Hossein Nazarboland,Co-Founder & CEO,Muscat,Masqat,"622,934",Hossein,Nazarboland,Male,Hossein Nazarboland  is the Co-Founder & CEO at Pioneer Investors International. Hossein attended Amirkabir University of Technology - Tehran Polytechnic.,Pioneer Investors,https://www.linkedin.com/in/hosseinnazarboland/
https://www.crunchbase.com/person/mawdud-choudhury,Mawdud Choudhury,CEO,Muscat,Masqat,"623,682",Mawdud,Choudhury,Male,�,Meedah Group Limited,https://www.linkedin.com/in/mawdudchoudhury
https://www.crunchbase.com/person/talal-al-aulaqi,Talal Al-aulaqi,�,Muscat,Masqat,"631,996",Talal,Al-aulaqi,Male,�,,
https://www.crunchbase.com/person/mazin-al-naamani,Mazin Al Naamani,�,Oman,Asia,"634,972",Mazin,Al Naamani,�,�,,https://www.linkedin.com/in/mazinalnaamani/
https://www.crunchbase.com/person/ryan-joseph-c8af,Ryan joseph,�,Muscat,Masqat,"644,545",Ryan,joseph,Male,https://bghud.com/course/moh-dha-haad-exam-coaching-in-kerala/,,
https://www.crunchbase.com/person/rashad-al-musafir,Rashad Al Musafir,Chief Executive Officer,Muscat,Masqat,"650,685",Rashad Al,Musafir,Male,�,Oman Arab Bank,https://www.linkedin.com/in/rashad-al-musafir-1ba6243/
https://www.crunchbase.com/person/abdul-rahiman,Abdul Rahiman,CFO,Muscat,Masqat,"665,627",Abdul,Rahiman,�,Abdul Rahiman is the CFO of Krishi Star. Abdul Rahiman attended the Indian Institute of Management Ahmedabad.,Krishi Star,https://www.linkedin.com/in/-abdul-rahiman
https://www.crunchbase.com/person/dost-muhammad-shah,Dost Muhammad Shah,Design and Development Engineer,Muscat,Masqat,"669,441",Dost Muhammad,Shah,Male,"Dost Muhammad Shah is an Embedded Electronics Design Engineer with 3+ years of Experience in PCB design, Circuit design, Firmware developing & prototyping and testing of Products designed around microcontrollers and  digital electronics.",Kindows Tech Solutions,http://www.linkedin.com/in/dmsherazi
https://www.crunchbase.com/person/hala-alturki,Hala Alturki,Partner,Oman,Asia,"671,671",Hala,Alturki,Female,�,Altaaat Leadership Development Institute,https://www.linkedin.com/in/halaalturki
https://www.crunchbase.com/person/ehab-tasfai-1c0b,Ehab Tasfai,Engineering Commander,Masqat,Oman,"674,220",Ehab,Tasfai,Male,Ehab Tasfai is the Engineering Commander at 44.01. He attended Glasgow Caledonian University.,44.01,https://www.linkedin.com/in/ehabtasfai
https://www.crunchbase.com/person/ps-suresh,PS Suresh,�,Oman,Asia,"684,606",PS,Suresh,Male,P S Suresh is the Head of IT Architecture & Strategy at BankMuscat. He previously worked at Meraas Holding as Head of Information Technology. He attended Kenan-Flagler Business School - University of North Carolina.,,https://www.linkedin.com/in/sureshps
